Date : 2025-07-04 15:22:10
Directory : /home/tbn/pessoa
Total : 246 files,  33917 codes, 2746 comments, 3949 blanks, all 40612 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         54 |     12,564 |          4 |         57 |     12,625 |
| Markdown           |         37 |      4,835 |          0 |      1,349 |      6,184 |
| Rust               |         49 |      4,523 |      1,096 |        617 |      6,236 |
| TypeScript JSX     |         22 |      4,050 |        443 |        540 |      5,033 |
| TypeScript         |         37 |      3,712 |        769 |        641 |      5,122 |
| CSS                |         11 |      2,545 |        244 |        495 |      3,284 |
| HTML               |          3 |        731 |          5 |        121 |        857 |
| YAML               |          6 |        425 |         48 |         29 |        502 |
| Properties         |          3 |        233 |         42 |         38 |        313 |
| MS SQL             |         13 |        127 |         43 |         20 |        190 |
| Docker             |          2 |         85 |         45 |         34 |        164 |
| JavaScript         |          2 |         42 |          0 |          2 |         44 |
| Log                |          1 |         24 |          0 |          1 |         25 |
| Ignore             |          2 |          9 |          7 |          4 |         20 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          3 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        246 |     33,917 |      2,746 |      3,949 |     40,612 |
| . (Files)                                                                                                        |         18 |      2,722 |         28 |        603 |      3,353 |
| .github                                                                                                          |          1 |          0 |         20 |          1 |         21 |
| .github/workflows                                                                                                |          1 |          0 |         20 |          1 |         21 |
| backend                                                                                                          |        108 |      6,512 |      1,162 |        675 |      8,349 |
| backend (Files)                                                                                                  |          2 |         70 |         36 |         23 |        129 |
| backend/.sqlx                                                                                                    |         47 |      1,932 |          0 |         47 |      1,979 |
| backend/.sqlx (Files)                                                                                            |         27 |      1,173 |          0 |         27 |      1,200 |
| backend/.sqlx/.sqlx                                                                                              |         20 |        759 |          0 |         20 |        779 |
| backend/migrations                                                                                               |         12 |        127 |         42 |         19 |        188 |
| backend/scripts                                                                                                  |          1 |         23 |          1 |          3 |         27 |
| backend/src                                                                                                      |         38 |      3,884 |      1,027 |        528 |      5,439 |
| backend/src (Files)                                                                                              |         13 |      2,605 |        694 |        378 |      3,677 |
| backend/src/analysis                                                                                             |          4 |        119 |         89 |         25 |        233 |
| backend/src/api                                                                                                  |          4 |        234 |          8 |         29 |        271 |
