"filename", "language", "Markdown", "TypeScript JSX", "Rust", "TypeScript", "comment", "blank", "total"
"/home/admins/projects/pessoa/backend/RUTHLESS_REVIEW_FINDINGS.md", "Markdown", 10, 0, 0, 0, 0, 0, 10
"/home/admins/projects/pessoa/backend/src/error_helpers.rs", "Rust", 0, 0, 177, 0, 106, 26, 309
"/home/admins/projects/pessoa/backend/src/lib.rs", "Rust", 0, 0, 40, 0, 0, 2, 42
"/home/admins/projects/pessoa/backend/src/main.rs", "Rust", 0, 0, 20, 0, 7, 4, 31
"/home/admins/projects/pessoa/backend/src/service_manager.rs", "Rust", 0, 0, 3, 0, 0, 0, 3
"/home/admins/projects/pessoa/backend/src/snapshotting_service.rs", "Rust", 0, 0, -93, 0, 6, -9, -96
"/home/admins/projects/pessoa/frontend/src/components/ScriptUploader.tsx", "TypeScript JSX", 0, -1, 0, 0, 1, 0, 0
"/home/admins/projects/pessoa/frontend/src/components/editor/components/toolbar/Toolbar.tsx", "TypeScript JSX", 0, 27, 0, 0, 2, 1, 30
"/home/admins/projects/pessoa/frontend/src/components/editor/hooks/useEditorCore.ts", "TypeScript", 0, 0, 0, 27, -21, 12, 18
"Total", "-", 10, 26, 147, 27, 101, 36, 347
